skill	Id	charclass	skilldesc	*status/note	srvstfunc	srvdofunc	prgstack	srvprgfunc1	srvprgfunc2	srvprgfunc3	prgcalc1	prgcalc2	prgcalc3	prgdam	srvmissile	decquant	lob	srvmissilea	srvmissileb	srvmissilec	srvoverlay	aurafilter	aurastate	auratargetstate	auralencalc	aurarangecalc	aurastat1	aurastatcalc1	aurastat2	aurastatcalc2	aurastat3	aurastatcalc3	aurastat4	aurastatcalc4	aurastat5	aurastatcalc5	aurastat6	aurastatcalc6	auraevent1	auraeventfunc1	auraevent2	auraeventfunc2	auraevent3	auraeventfunc3	auratgtevent	auratgteventfunc	passivestate	passiveitype	passivestat1	passivecalc1	passivestat2	passivecalc2	passivestat3	passivecalc3	passivestat4	passivecalc4	passivestat5	passivecalc5	passiveevent	passiveeventfunc	summon	pettype	petmax	summode	sumskill1	sumsk1calc	sumskill2	sumsk2calc	sumskill3	sumsk3calc	sumskill4	sumsk4calc	sumskill5	sumsk5calc	sumumod	sumoverlay	stsuccessonly	stsound	stsoundclass	stsounddelay	weaponsnd	dosound	dosound a	dosound b	tgtoverlay	tgtsound	prgoverlay	prgsound	castoverlay	cltoverlaya	cltoverlayb	cltstfunc	cltdofunc	cltprgfunc1	cltprgfunc2	cltprgfunc3	cltmissile	cltmissilea	cltmissileb	cltmissilec	cltmissiled	cltcalc1	*cltcalc1 desc	cltcalc2	*cltcalc2 desc	cltcalc3	*cltcalc3 desc	warp	immediate	enhanceable	attackrank	noammo	range	weapsel	itypea1	itypea2	itypea3	etypea1	etypea2	itypeb1	itypeb2	itypeb3	etypeb1	etypeb2	anim	seqtrans	monanim	seqnum	seqinput	durability	UseAttackRate	LineOfSight	TargetableOnly	SearchEnemyXY	SearchEnemyNear	SearchOpenXY	SelectProc	TargetCorpse	TargetPet	TargetAlly	TargetItem	AttackNoMana	TgtPlaceCheck	ItemEffect	ItemCltEffect	ItemTgtDo	ItemTarget	ItemCheckStart	ItemCltCheckStart	ItemCastSound	ItemCastOverlay	skpoints	reqlevel	maxlvl	reqstr	reqdex	reqint	reqvit	reqskill1	reqskill2	reqskill3	restrict	State1	State2	State3	delay	leftskill	repeat	checkfunc	nocostinstate	usemanaondo	startmana	minmana	manashift	mana	lvlmana	interrupt	InTown	aura	periodic	perdelay	finishing	passive	progressive	general	scroll	calc1	*calc1 desc	calc2	*calc2 desc	calc3	*calc3 desc	calc4	*calc4 desc	Param1	*Param1 Description	Param2	*Param2 Description	Param3	*Param3 Description	Param4	*Param4 Description	Param5	*Param5 Description	Param6	*Param6 Description	Param7	*Param7 Description	Param8	*Param8 Description	InGame	ToHit	LevToHit	ToHitCalc	ResultFlags	HitFlags	HitClass	Kick	HitShift	SrcDam	MinDam	MinLevDam1	MinLevDam2	MinLevDam3	MinLevDam4	MinLevDam5	MaxDam	MaxLevDam1	MaxLevDam2	MaxLevDam3	MaxLevDam4	MaxLevDam5	DmgSymPerCalc	EType	EMin	EMinLev1	EMinLev2	EMinLev3	EMinLev4	EMinLev5	EMax	EMaxLev1	EMaxLev2	EMaxLev3	EMaxLev4	EMaxLev5	EDmgSymPerCalc	ELen	ELevLen1	ELevLen2	ELevLen3	ELenSymPerCalc	aitype	aibonus	cost mult	cost add
Attack	0		attack		1	1																																																																																						1	1																		0		both		weap			tpot							A1	A1	A1				1		1	1								1											1									1					1		1				0	8	0	0	1					1			1																										1								8	128																																				0
Kick	1		kick		2	2																																																																																						0	0																		0		h2h	4											KK	KK	xx						1	1							1												1																				0	8	0	0									1																										1							1	8																																					0
Throw	2		throw		65	3																																																																																						2	2																		0		rng		thro										TH	TH	xx				1																						1														1		2				0	8	0	0	1								1																										1								8	128																																				0
Unsummon	3		unsummon		3	4																																																																																						3	0																		0		rng												SC	SC	xx						1						1														1									1											0	8	0	0	1	1							1																										1								8																																					0
Left Hand Throw	4		left hand throw		65	5																																																																																						2	2																		0		rng	1	thro										S4	S4	xx			1	1																						1														1		3				0	8	0	0	1								1																										1								8																																					0
Left Hand Swing	5		left hand swing		1	1																																																																																						4	1																		0		both	1	weap			tpot							S3	S3	S3			1	1		1	1																			1														1		4				0	8	0	0	1								1																										1								8																																					0
Magic Arrow	6	ama	magic arrow			8										1		magicarrowupped																															item_pierce	100																																										19	17					magicarrowupped	magicarrowupped	magiccastblue										1	9		rng		miss										A1	A1	A1				1													1									1	20													1						1	6	8	1	1										1+stat('addmissiles'.accr)		0																				7	damage synergy	1								8	128														mag	7	7	14	28	56	56	14	7	14	28	56	56	stat('energy'.accr)*2+min(ulvl*(1000/100), lvl*(1600/20))+stat('magicskill'.accr)*20						5	15		100
Poison Arrow	7	ama	poisonarrow	100% pierce	4	8										1		poisonarrow																																																												amazon_cast_poison		1												19	17					poisonarrow	poisonarrow	magiccastgreen										1	9		rng		miss										A1	A1	A1				1													1								((ulvl)<((blvl-stat('skill_maxlvl'.accr))*5))?(stat('newskills'.accr)+1):1	8	20					Recoil Arrow								1						1	7	30	2	1										1+stat('addmissiles'.accr)		0																				5	damage synergy	1								2	128														pois	30	30	60	90	120	120	60	30	60	90	120	120	stat('energy'.accr)/2+min(ulvl*(800/100), lvl*(900/20))+stat('poisskill'.accr)*20	50					5	9		100
Head Splitter	8	ama	headsplitter	passive melee																																											headsplit		item_crushingblow	blvl*2+5	item_fractionaltargetac	10+lvl*2																																																										1	0		h2h		mele												xx																									((skill('Critical Strike'.blvl)+skill('Finger of Penthesilea'.blvl)+skill('Freezing Arrow'.blvl)+skill('Recoil Arrow'.blvl)+skill('Plague Javelin'.blvl)>0)?50000:1	1	20													1						0	8	0	0	1						1																												1								8																																					100
Critical Strike	9	ama	critical strike	passive missile																																											criticalstrike		item_deadlystrike	dm12																																																												1	4		none		miss												xx				1																					((skill('Head Splitter'.blvl)+skill('Finger of Penthesilea'.blvl)+skill('Plague Javelin'.blvl)+skill('Rotting Strike'.blvl)>0)?50000:1	1	20													1						0	8	0	0	1						1												5	min % to do double damage	40	max % to do double damage													1								8																																					100
